id,airline,flight,airportfrom,airportto,dayofweek,time,length,delay
1989,AA,1264,DEN,DFW,3,440,125,0
1990,AA,1335,DCA,DFW,3,440,215,0
1991,AA,1355,BOS,DFW,3,440,270,0
1992,AA,1360,DFW,DCA,3,440,160,1
1993,AA,2099,ORD,LAX,3,440,265,1
1994,AA,2416,LAX,DFW,3,440,180,1
1995,AA,334,DFW,BNA,3,440,100,1
1996,AA,460,IAH,DFW,3,440,75,0
1999,AA,993,TPA,MIA,3,440,65,1
2001,B6,1438,LGB,SFO,3,440,81,0
2002,B6,325,BDL,FLL,3,440,197,0
2003,B6,450,FLL,BOS,3,440,179,0
2004,CO,1097,IAH,LAS,3,440,204,0
2005,CO,199,IAH,DEN,3,440,157,1
2008,DL,2014,LAX,CVG,3,440,247,0
2010,FL,887,BWI,MKE,3,440,125,0
2011,MQ,2754,LFT,DFW,3,440,90,0
2012,MQ,2838,SAV,DFW,3,440,180,0
2013,MQ,2920,CMI,DFW,3,440,145,0
2014,OH,6332,CLE,CVG,3,440,76,0
2015,OH,6469,HSV,ATL,3,440,67,0
2016,OO,4477,FCA,SLC,3,440,99,1
2017,OO,6255,SFO,BUR,3,440,69,1
2020,US,1452,MYR,CLT,3,440,56,0
2021,US,1465,PVD,PHL,3,440,82,0
2029,WN,1914,ALB,FLL,3,440,200,0
2030,WN,1919,BWI,TPA,3,440,150,0
2032,WN,2807,OMA,DEN,3,440,100,1
2033,WN,2958,AMA,DAL,3,440,65,0
2036,WN,3766,PHL,PVD,3,440,70,0
2038,WN,645,TUS,ABQ,3,440,60,0
2039,WN,731,LAX,DEN,3,440,140,0
2040,WN,778,MDW,OMA,3,440,90,0
2041,WN,815,MCI,STL,3,440,65,0
2043,WN,883,ISP,PBI,3,440,180,1
2044,WN,904,SNA,SMF,3,440,90,0
2045,XE,3122,MSY,IAH,3,440,72,1
2046,B6,1005,BOS,JFK,3,441,75,0
2047,OO,6515,SFO,LMT,3,441,87,0
2049,OO,6400,EUG,SFO,3,442,97,0
2050,OO,6598,SFO,SMF,3,442,43,0
2051,UA,272,SFO,LAX,3,442,92,0
2054,XE,2130,OMA,EWR,3,443,167,0
2055,XE,2142,OKC,EWR,3,443,187,0
2056,EV,5567,CAE,ATL,3,444,76,1
2057,EV,7126,ORD,BUF,3,444,86,1
2058,UA,58,ROC,ORD,3,444,121,0
2060,9E,3929,AZO,MSP,3,445,106,0
2061,AA,1038,DFW,MSP,3,445,140,0
2063,AA,2324,DFW,ORD,3,445,140,0
2066,CO,1746,IAH,ORD,3,445,150,0
2067,CO,470,EWR,SJU,3,445,228,1
2068,CO,626,IAH,BWI,3,445,173,0
2069,CO,776,IAH,PHL,3,445,187,1
2072,DL,1145,ATL,MSY,3,445,100,0
2073,DL,1169,FLL,LAX,3,445,350,0
2074,DL,1211,DTW,MSP,3,445,125,0
2075,DL,1416,ATL,ORF,3,445,98,0
2076,DL,1444,DTW,DCA,3,445,103,0
2077,DL,1464,MSP,DCA,3,445,147,0
2079,DL,1694,ATL,PHL,3,445,120,1
2080,DL,1803,DTW,MEM,3,445,138,0
2082,DL,1984,ATL,PIT,3,445,97,0
2083,DL,2012,ATL,ORD,3,445,127,1
2084,DL,2036,DTW,BWI,3,445,97,1
2087,DL,2968,SEA,ATL,3,445,285,1
2089,EV,4975,ATL,CVG,3,445,85,0
2090,EV,5069,AGS,ATL,3,445,77,0
2091,EV,5202,ATL,CLE,3,445,104,1
2092,EV,5348,JAN,ATL,3,445,89,0
2093,MQ,2717,ROW,DFW,3,445,85,1
2094,MQ,3004,DEN,LAX,3,445,160,0
2095,MQ,3607,MIA,ATL,3,445,120,0
2096,MQ,3620,ORF,MIA,3,445,155,1
2097,MQ,3654,RIC,MIA,3,445,160,1
2100,OO,6550,TUS,DEN,3,445,116,1
2101,OO,6724,BZN,DEN,3,445,107,0
2103,UA,833,BOI,DEN,3,445,110,1
2104,US,1926,MCO,DCA,3,445,122,1
2105,US,867,SYR,PHL,3,445,84,0
2107,WN,1663,TPA,PHL,3,445,150,1
2108,WN,1681,PIT,MDW,3,445,110,0
2109,WN,2015,SAN,MDW,3,445,240,0
2110,WN,3250,SEA,BOI,3,445,80,1
2111,WN,3481,BDL,TPA,3,445,195,0
2112,WN,391,IND,MCI,3,445,100,0
2116,WN,782,LAX,MDW,3,445,240,1
2117,WN,897,PHX,SNA,3,445,80,0
2118,WN,903,OAK,HOU,3,445,225,1
2119,WN,919,MCO,BWI,3,445,125,1
2121,WN,964,SEA,MDW,3,445,240,1
2122,XE,2026,IAH,STL,3,445,121,1
2123,XE,2246,IAH,ATL,3,445,118,0
2124,XE,2333,IAH,DTW,3,445,177,0
2127,XE,3083,IAH,MKE,3,445,153,1
2128,XE,3140,SAT,IAH,3,445,59,0
2130,OO,6312,PSP,LAX,3,446,52,0
2131,UA,345,PHL,ORD,3,446,142,0
2132,OO,6604,SLC,DEN,3,447,98,0
2134,EV,5120,ATL,TYS,3,448,59,1
2136,CO,733,LGA,IAH,3,449,240,1
2140,XE,2363,EWR,XNA,3,449,209,0
2142,9E,3776,ROC,ATL,3,450,151,0
2147,AA,1740,SNA,DFW,3,450,175,0
2148,AA,2265,PHL,ORD,3,450,160,0
2149,AA,2413,OKC,DFW,3,450,65,0
2150,AA,2455,ORD,PHX,3,450,240,1
2151,AA,517,DFW,SJC,3,450,230,1
2152,AA,549,FLL,ORD,3,450,195,0
2153,AA,828,SJC,ORD,3,450,255,1
2154,AA,884,STL,DCA,3,450,115,0
2155,AS,11,EWR,SEA,3,450,375,0
2156,AS,120,ANC,SEA,3,450,211,0
2158,B6,1421,PDX,LGB,3,450,135,1
2159,B6,1600,BOS,DCA,3,450,102,0
2160,B6,670,LAX,JFK,3,450,309,1
2164,CO,349,SFO,EWR,3,450,321,1
2166,CO,87,CLE,EWR,3,450,84,0
2167,CO,9,BOS,EWR,3,450,77,0
2168,DL,1099,BDL,MCO,3,450,186,0
2171,DL,1176,ATL,CLT,3,450,75,1
2172,DL,1187,DTW,ATL,3,450,142,0
2173,DL,1303,DTW,FLL,3,450,192,1
2174,DL,1372,LGA,BOS,3,450,66,1
2175,DL,1375,BOS,LGA,3,450,76,1
2176,DL,1545,DCA,DTW,3,450,100,0
2177,DL,1618,MCO,ATL,3,450,110,0
2181,DL,1967,DTW,ORD,3,450,80,0
2185,DL,2266,PHX,SLC,3,450,104,1
2186,DL,2291,ATL,TPA,3,450,87,0
2187,DL,2337,BWI,DTW,3,450,102,0
2188,DL,2420,MSY,ATL,3,450,98,1
2189,DL,2573,ATL,MIA,3,450,115,0
2190,DL,2748,ATL,BDL,3,450,142,0
2191,DL,2756,ATL,JFK,3,450,135,0
2194,EV,4969,MGM,ATL,3,450,65,0
2195,EV,5008,CVG,EWR,3,450,118,1
2197,EV,5189,TYS,ATL,3,450,77,0
2198,EV,5256,TRI,DTW,3,450,115,0
2199,EV,5258,DFW,DTW,3,450,157,0
2200,EV,5261,BNA,MEM,3,450,70,0
2203,FL,473,BWI,ATL,3,450,130,0
2204,FL,890,LAX,MKE,3,450,240,0
2206,MQ,3605,MIA,CVG,3,450,160,0
2208,MQ,4105,CLT,ORD,3,450,140,0
2209,MQ,4110,MDT,ORD,3,450,145,0
2210,OH,6302,CVG,BOS,3,450,130,0
2211,OH,6361,DTW,CVG,3,450,75,1
2212,OH,6378,CVG,LGA,3,450,124,0
2213,OH,6461,BOS,JFK,3,450,87,0
2215,OH,6755,BOS,RDU,3,450,140,0
2216,OO,4449,ICT,MSP,3,450,115,0
2217,OO,4771,ORD,SLC,3,450,205,0
2218,OO,4847,RST,MSP,3,450,52,0
2219,OO,6482,GTF,DEN,3,450,112,0
2220,UA,395,SEA,SFO,3,450,136,0
2226,US,1707,STL,CLT,3,450,109,1
2228,US,2022,DCA,BOS,3,450,84,0
2231,US,541,DFW,LAS,3,450,178,0
2234,WN,1030,SJC,LAS,3,450,85,0
2236,WN,1217,OAK,LAX,3,450,75,1
2237,WN,1311,CMH,TPA,3,450,135,1
2239,WN,1655,BNA,MDW,3,450,90,1
2240,WN,1669,LBB,ABQ,3,450,65,0
2241,WN,2441,BWI,MCO,3,450,145,0
2242,WN,2819,TPA,FLL,3,450,60,0
2244,WN,3232,JAX,FLL,3,450,70,0
2245,WN,3664,HOU,BWI,3,450,170,1
2246,WN,3743,BOS,STL,3,450,195,0
2249,WN,3930,LAX,ABQ,3,450,105,0
2250,WN,396,OAK,BUR,3,450,65,1
2252,WN,640,SAT,DAL,3,450,60,0
2257,WN,780,LAS,STL,3,450,190,1
2258,WN,809,PHL,RDU,3,450,90,0
2259,WN,824,MCO,FLL,3,450,55,0
2260,WN,869,DAL,AMA,3,450,70,0
2261,WN,872,MDW,LAS,3,450,255,1
2262,WN,965,DEN,MCO,3,450,210,0
2263,XE,2536,CLE,ATL,3,450,117,1
2266,XE,2674,IAH,TUL,3,450,88,0
2267,XE,2723,IAH,OKC,3,450,85,0
2270,YV,2667,FAY,CLT,3,450,63,0
2271,YV,2730,MEM,PHX,3,450,223,1
2272,B6,1304,IAD,JFK,3,451,73,0
2274,OO,6317,LAX,SBA,3,451,40,0
2275,UA,422,BIL,DEN,3,451,94,0
2276,US,1505,CLT,PHX,3,451,288,0
2278,OO,6321,LAX,SAN,3,452,46,0
2280,OO,6228,ELP,DEN,3,453,116,0
2281,OO,6870,HLN,DEN,3,453,113,0
2283,YV,2634,CLT,ORF,3,453,65,0
2285,9E,3959,DTW,MDW,3,455,87,0
2286,9E,4039,GSP,ATL,3,455,85,0
2287,AA,1263,MIA,IAH,3,455,175,0
2288,AA,1660,DFW,IND,3,455,120,0
2289,AA,1686,ORD,RDU,3,455,110,1
2292,AA,643,MIA,ORD,3,455,200,0
2293,AA,663,JFK,FLL,3,455,200,0
2295,AS,877,PDX,HNL,3,455,360,0
2296,B6,44,JFK,SYR,3,455,69,0
2297,CO,258,IAH,DCA,3,455,175,0
2298,DL,1079,ATL,CMH,3,455,95,1
2299,DL,1474,MCO,MSP,3,455,215,0
2301,DL,1858,ATL,RDU,3,455,85,0
2303,DL,2122,DTW,BOS,3,455,127,0
2304,DL,2426,FLL,ATL,3,455,124,0
2307,EV,5129,BOS,DCA,3,455,108,0
2308,EV,5293,BQK,ATL,3,455,80,0
2309,FL,184,ATL,DCA,3,455,101,0
2310,FL,224,MKE,LAS,3,455,250,0
2311,FL,360,ATL,LGA,3,455,127,1
2313,FL,672,MCO,MKE,3,455,176,0
2314,FL,72,FLL,ATL,3,455,113,0
2315,MQ,2825,DFW,TUL,3,455,60,0
2316,MQ,3065,LAX,SAN,3,455,45,0
2317,MQ,3272,PIA,DFW,3,455,135,0
2318,MQ,4236,MEM,ORD,3,455,120,0
2320,OO,6472,LAX,ABQ,3,455,109,0
2323,OO,6723,AUS,SFO,3,455,238,0
2324,UA,344,PDX,SFO,3,455,118,0
2325,US,1451,CLT,SFO,3,455,342,0
2327,US,797,PHL,LAX,3,455,365,0
2328,US,881,ORD,CLT,3,455,114,1
2329,US,939,MSP,PHX,3,455,223,1
2330,WN,1027,MKE,MCI,3,455,95,0
2333,WN,1382,RNO,LAS,3,455,80,1
2335,WN,1497,HOU,MSY,3,455,60,0
2340,WN,1855,PIT,PHL,3,455,80,1
2341,WN,2092,BWI,MCI,3,455,180,0
2343,WN,23,PHX,ELP,3,455,65,0
2346,WN,256,BUR,PHX,3,455,85,0
2347,WN,2790,HOU,TUL,3,455,80,1
2349,WN,3415,OAK,SAN,3,455,85,0
2351,WN,588,MDW,PIT,3,455,75,1
2352,WN,786,BUF,TPA,3,455,175,1
2353,WN,983,PHL,TPA,3,455,180,1
2354,XE,2035,IAH,PIT,3,455,158,0
2357,XE,5988,ORD,CLE,3,455,71,0
2358,YV,2617,MEM,CLT,3,455,102,1
2361,HA,123,HNL,LIH,3,456,36,0
2365,UA,164,ORD,MCO,3,457,162,0
2370,HA,115,OGG,HNL,3,458,34,0
2371,OO,7755,SLC,CDC,3,459,72,0
2374,9E,3741,ATL,HOU,3,460,141,0
2375,9E,4148,CVG,BNA,3,460,66,0
2376,9E,4287,CVG,DTW,3,460,87,1
2377,9E,4310,MEM,ATL,3,460,90,0
2380,AA,160,SAN,JFK,3,460,315,1
2381,AA,1920,LAX,SFO,3,460,80,0
2383,AA,592,COS,DFW,3,460,115,0
2384,AA,858,MIA,PHL,3,460,160,0
2388,AS,676,SEA,DEN,3,460,155,0
2391,B6,94,OAK,JFK,3,460,322,1
2392,CO,1554,EWR,PBI,3,460,178,0
2394,CO,485,PDX,EWR,3,460,307,1
2395,CO,92,IAH,SFO,3,460,262,1
2396,DL,1586,ATL,LGA,3,460,134,0
2397,DL,1664,STL,MSP,3,460,96,0
2398,DL,1705,IAD,ATL,3,460,124,0
2399,DL,2661,ATL,MEM,3,460,91,0
2400,DL,2892,SAN,ATL,3,460,243,1
2401,EV,5161,CHA,ATL,3,460,59,0
2402,EV,7084,ORD,DAY,3,460,66,1
2403,F9,383,FLL,DEN,3,460,268,1
2404,FL,1150,IND,RSW,3,460,156,1
2406,MQ,2852,SGF,DFW,3,460,95,0
2408,MQ,3054,LAX,SBA,3,460,40,0
2409,MQ,3317,DFW,SJT,3,460,60,1
2410,MQ,3384,CHS,DFW,3,460,190,0
2411,MQ,3972,MQT,TVC,3,460,45,0
2412,MQ,4037,ORD,PIT,3,460,85,0
2413,MQ,4268,CLE,ORD,3,460,95,0
2414,MQ,4341,ORD,RIC,3,460,115,1
2415,OH,6370,DTW,ROC,3,460,83,0
2418,OH,6771,DTW,SYR,3,460,87,0
2420,OO,4496,BOI,SLC,3,460,65,1
2422,OO,7028,COS,DEN,3,460,50,0
2424,UA,449,ALB,ORD,3,460,145,0
2427,US,1171,CLT,IAH,3,460,170,0
2431,US,657,PHL,SFO,3,460,384,0
2432,US,974,CLT,MSP,3,460,167,0
2437,WN,1198,MCO,BNA,3,460,120,1
2438,WN,119,MDW,PHL,3,460,125,0
2444,WN,3243,PBI,ISP,3,460,160,0
2445,WN,327,SJC,BUR,3,460,60,0
2446,WN,3312,DAL,MCI,3,460,90,1
2448,WN,464,PVD,PHL,3,460,85,1
2449,WN,480,MCO,MSY,3,460,110,0
2451,WN,785,BHM,DAL,3,460,115,1
2453,XE,2128,CLE,BOS,3,460,95,0
2454,XE,2132,IAH,LIT,3,460,78,0
2455,XE,2347,CLE,MSP,3,460,122,0
2457,OO,6290,LAX,MRY,3,461,65,0
2458,OO,7001,COS,ORD,3,461,147,1
2461,OO,6253,SAT,SFO,3,462,235,0
2462,OO,4690,LAX,SLC,3,463,107,1
2463,OO,6371,GCC,DEN,3,463,92,0
2464,OO,6676,FAT,DEN,3,463,143,1
2465,OO,7004,SFO,SBP,3,463,65,0
2466,UA,297,BWI,SFO,3,463,372,0
2467,OO,6234,LAX,DFW,3,464,177,1
2470,9E,3863,JAX,MEM,3,465,120,1
2471,9E,4088,MSP,CVG,3,465,114,0
2472,AA,1167,RDU,DFW,3,465,195,0
2473,AA,1256,MIA,LGA,3,465,170,1
2474,AA,1287,AUS,DFW,3,465,65,0
2476,AA,2081,MCO,DFW,3,465,180,0
2477,AA,575,MIA,SJU,3,465,145,1
2481,B6,336,MCO,IAD,3,465,120,0
2484,CO,186,SNA,EWR,3,465,313,1
2485,CO,211,EWR,IAH,3,465,248,0
2487,CO,544,IAH,CLE,3,465,168,0
2488,CO,586,IAH,MCO,3,465,133,1
2489,CO,615,IAH,DFW,3,465,71,0
2491,DL,1016,ATL,MDW,3,465,109,0
2493,DL,2097,MSP,ATL,3,465,155,0
2494,DL,2135,PIT,ATL,3,465,133,0
2495,DL,2260,MIA,ATL,3,465,129,1
2496,DL,2861,PHL,ATL,3,465,159,1
2497,EV,5115,CLE,ATL,3,465,127,0
2498,EV,5244,MOB,ATL,3,465,81,0
2499,EV,5503,HOU,ATL,3,465,118,0
2501,EV,5551,VPS,ATL,3,465,79,0
2502,F9,170,TUS,DEN,3,465,108,0
2504,FL,1188,MCO,MLI,3,465,167,0
2505,FL,767,PBI,ATL,3,465,108,0
2507,MQ,2793,FSD,DFW,3,465,150,0
2508,MQ,3533,DFW,CLE,3,465,150,1
2509,MQ,3810,ORD,CLE,3,465,80,0
2511,OO,4517,BIL,SLC,3,465,83,0
2512,OO,4820,LAX,LAS,3,465,70,0
2513,OO,6254,FAT,SFO,3,465,67,0
2515,UA,648,ABQ,DEN,3,465,88,0
2516,UA,970,SAN,IAD,3,465,292,0
2519,US,1431,CLT,LAX,3,465,322,1
2520,US,1488,LAX,CLT,3,465,265,0
2522,US,1540,PHX,CLT,3,465,216,0
2523,US,1813,CLT,TPA,3,465,100,1
2524,US,1987,CLT,RSW,3,465,113,0
2525,US,400,CMH,PHX,3,465,274,0
2526,US,88,ATL,PHX,3,465,269,1
2528,WN,1057,GEG,OAK,3,465,135,0
2530,WN,1115,BWI,MDW,3,465,130,0
2531,WN,1117,TUL,HOU,3,465,95,1
2534,WN,1739,OAK,LAS,3,465,85,1
2535,WN,1933,MDW,CMH,3,465,70,0
2537,WN,20,BWI,HOU,3,465,225,1
2540,WN,3070,PHL,MHT,3,465,75,0
2541,WN,3420,PHX,LAS,3,465,65,0
2542,WN,3421,ORF,BWI,3,465,55,1
2544,WN,3596,RSW,MCO,3,465,45,0
2545,WN,399,LAS,SNA,3,465,60,0
2546,WN,512,SAN,LAS,3,465,70,1
2547,WN,627,MCO,ISP,3,465,145,1
2551,WN,859,TPA,MDW,3,465,165,1
2553,XE,2541,CLE,CLT,3,465,88,0
2554,XE,3059,IAH,MOB,3,465,76,0
2555,YV,2854,FLG,PHX,3,465,71,0
2556,OO,6489,SFO,CIC,3,466,55,1
2558,YV,7254,ORD,SAV,3,466,120,0
2559,YV,7283,SAT,ORD,3,466,160,0
2560,UA,743,PIT,DEN,3,467,228,1
2562,B6,305,IAD,FLL,3,469,156,1
2563,DL,2813,GRR,MSP,3,469,101,0
2564,AA,1077,DFW,SFO,3,470,230,1
2565,AA,1347,SAT,DFW,3,470,70,0
2570,B6,1795,DCA,FLL,3,470,151,1
2573,CO,282,IAH,BOS,3,470,218,0
2574,CO,408,IAH,EWR,3,470,206,0
2578,DL,1904,FLL,DTW,3,470,185,1
2579,DL,2753,LGA,TPA,3,470,188,0
2582,MQ,2765,DFW,DSM,3,470,110,0
2583,MQ,3011,LAX,FAT,3,470,60,1
2584,MQ,3771,ORD,IAH,3,470,165,1
2585,MQ,3967,ORD,OMA,3,470,95,1
2586,MQ,4285,ORD,CLT,3,470,115,0
2588,OO,4795,BZN,SLC,3,470,75,0
2590,OO,6606,EGE,DEN,3,470,53,0
2591,OO,7759,SLC,EKO,3,470,65,1
2593,UA,368,MSY,IAD,3,470,145,0
2594,UA,916,SEA,IAD,3,470,296,0
2595,US,1747,PHL,LAS,3,470,342,0
2596,US,1885,PHL,FLL,3,470,180,0
2597,US,1894,PBI,PHL,3,470,156,0
2598,US,335,LAX,PHX,3,470,88,0
2599,US,801,CLT,MCO,3,470,97,0
2600,US,97,PHL,PIT,3,470,81,0
2601,US,981,PHL,DEN,3,470,264,0
2602,WN,1031,SAN,SMF,3,470,100,0
2605,WN,1265,SDF,MDW,3,470,75,0
2606,WN,1383,PDX,GEG,3,470,60,0
2611,WN,2543,MDW,DTW,3,470,70,0
2615,WN,711,SAT,LAS,3,470,175,0
2616,XE,2268,IAH,LFT,3,470,72,0
2617,XE,3032,IAH,CLT,3,470,144,1
2619,OO,6669,GUC,DEN,3,471,50,0
2621,UA,914,SFO,IAD,3,471,303,0
2622,OO,7029,SFO,SLC,3,473,107,0
2624,OO,7797,SLC,SUN,3,474,72,1
2625,9E,3999,PHF,ATL,3,475,132,1
2626,9E,4085,JFK,BUF,3,475,104,0
2628,AA,1137,ORD,MSY,3,475,140,0
2630,AA,1430,DFW,TPA,3,475,135,0
2631,AA,1765,IAD,SJU,3,475,230,1
2632,AA,1775,RSW,DFW,3,475,185,1
2635,AA,2328,DFW,ORD,3,475,140,1
2636,AA,2411,DFW,LAX,3,475,205,1
2642,DL,1492,PHX,MSP,3,475,184,1
2643,DL,2194,PBI,ATL,3,475,121,0
2644,DL,2232,ORD,MSP,3,475,94,1
2645,DL,2376,SNA,MSP,3,475,220,0
2647,EV,5071,ATL,HSV,3,475,58,0
2648,EV,5575,ILM,ATL,3,475,97,1
2652,MQ,3016,SAN,LAX,3,475,40,0
2653,MQ,3204,DFW,SHV,3,475,55,0
2654,MQ,3381,DFW,JAN,3,475,80,1
2655,MQ,3799,ABQ,ORD,3,475,160,0
2656,MQ,3867,DTW,ORD,3,475,95,0
2657,MQ,3905,DAY,ORD,3,475,80,0
2658,MQ,4256,ORD,CHA,3,475,95,0
2659,MQ,4495,BOS,LGA,3,475,80,0
2660,MQ,4535,CMH,LGA,3,475,105,1
2661,OH,6404,DCA,BOS,3,475,93,0
2662,OO,3110,MKE,CAK,3,475,78,0
2666,UA,865,BOS,ORD,3,475,171,0
2670,US,1785,BNA,CLT,3,475,75,0
2678,WN,168,AUS,SJC,3,475,235,0
2679,WN,1838,SMF,PDX,3,475,100,0
2685,WN,3567,AUS,DAL,3,475,55,0
2689,XE,2469,IAH,CRP,3,475,65,0
2690,XE,2612,IAH,CVG,3,475,135,0
2693,OO,6343,SFO,SNA,3,476,91,1
2696,OO,6390,BOI,SFO,3,477,112,1
2699,UA,604,ORD,DCA,3,477,111,0
2700,XE,5994,BNA,ORD,3,477,107,1
2702,AA,1777,JFK,MCO,3,479,180,0
2704,AA,309,LGA,ORD,3,479,165,0
2705,DL,2739,DCA,ATL,3,479,127,1
2706,MQ,4406,JFK,RDU,3,479,111,0
2708,XE,2470,IAH,MSP,3,479,168,0
2709,XE,2510,CLE,MHT,3,479,92,0
2710,XE,2871,EWR,GSO,3,479,114,1
2711,9E,3710,SBN,DTW,3,480,70,1
2712,9E,3987,TYS,MEM,3,480,89,0
2713,9E,3992,LEX,MEM,3,480,85,0
2714,9E,4161,IND,MEM,3,480,88,0
2715,9E,4230,FWA,DTW,3,480,64,0
2716,9E,4322,BNA,MSP,3,480,144,1
2718,AA,1054,MIA,DCA,3,480,140,0
2721,AA,1234,MIA,TPA,3,480,55,0
2722,AA,2028,STL,LGA,3,480,140,1
2723,AS,182,FAI,ANC,3,480,63,0
2725,AS,21,ORD,SEA,3,480,280,1
2729,AS,677,DEN,SEA,3,480,175,0
2731,AS,83,SEA,ANC,3,480,220,1
2733,B6,559,HPN,TPA,3,480,174,0
2736,CO,1700,FLL,EWR,3,480,165,0
2737,CO,659,DCA,IAH,3,480,208,0
2738,CO,769,LAS,EWR,3,480,287,1
2740,DL,1156,MDW,ATL,3,480,114,0
2742,DL,1524,SAT,ATL,3,480,139,1
2745,DL,2047,LGA,ATL,3,480,161,0
2746,DL,2105,TPA,MSP,3,480,207,0
2747,DL,2348,BHM,ATL,3,480,67,1
2748,DL,2418,DTW,RSW,3,480,180,0
2749,DL,2577,MSP,FLL,3,480,210,0
2750,DL,2584,STL,SLC,3,480,202,0
2751,DL,2662,LAX,JFK,3,480,325,1
2752,DL,2666,MCO,DCA,3,480,119,0
2753,EV,4952,EYW,ATL,3,480,123,1
2755,FL,1049,DCA,RSW,3,480,166,0
2759,FL,854,MCO,ATL,3,480,94,0
2760,HA,10,HNL,LAX,3,480,325,1
2761,HA,116,HNL,OGG,3,480,37,0
2762,HA,35,PHX,HNL,3,480,400,1
2763,MQ,3118,RNO,LAX,3,480,105,0
2764,MQ,3233,DFW,CRP,3,480,80,1
2765,MQ,3358,XNA,DFW,3,480,75,0
2766,MQ,3753,MSP,ORD,3,480,95,1
2767,MQ,4108,ORD,JAX,3,480,145,0
2768,MQ,4253,ORD,ICT,3,480,115,0
2769,MQ,4354,ORD,AZO,3,480,50,1
2770,MQ,4437,LGA,CMH,3,480,120,0
2771,MQ,4558,LGA,CLE,3,480,110,0
2772,OH,6569,MSN,CVG,3,480,89,0
2773,OO,4574,LAS,SLC,3,480,88,0
2774,OO,4866,MKE,CVG,3,480,75,1
2775,OO,6638,RKS,DEN,3,480,85,0
2776,OO,6736,DEN,RAP,3,480,67,0
2777,OO,6767,RAP,DEN,3,480,76,0
2778,OO,7046,DRO,DEN,3,480,76,1
2780,UA,316,SNA,DEN,3,480,152,0
2781,UA,361,LGA,DEN,3,480,276,0
2785,US,1101,BOS,CLT,3,480,150,0
2787,US,1783,CLT,LAS,3,480,301,0
2792,US,2025,BOS,DCA,3,480,94,0
2793,US,2118,LGA,BOS,3,480,64,0
2794,US,2119,BOS,LGA,3,480,75,1
2795,US,2162,DCA,LGA,3,480,74,1
2796,US,2165,LGA,DCA,3,480,72,1
2798,US,343,IAH,PHX,3,480,186,0
2799,US,540,PHX,DFW,3,480,138,0
2801,US,987,PHL,MCO,3,480,163,0
2803,WN,1142,MSY,BWI,3,480,140,0
2808,WN,1847,MDW,BNA,3,480,85,0
2812,WN,2461,PHL,DEN,3,480,285,1
2814,WN,2898,PHX,ABQ,3,480,65,0
2819,WN,3501,MSP,MDW,3,480,95,0
2820,WN,3836,DTW,MDW,3,480,75,1
2823,WN,637,SJC,PHX,3,480,105,0
2825,WN,899,MCO,LAS,3,480,325,0
2827,WN,928,CMH,LAS,3,480,280,1
2829,XE,2189,IAH,DAL,3,480,63,1
2830,XE,2352,EWR,OMA,3,480,211,0
2831,XE,2579,IAH,SAT,3,480,59,1
2832,XE,2586,IAH,IND,3,480,133,1
2833,XE,2726,ATL,EWR,3,480,123,1
2835,YV,2932,TUS,PHX,3,480,54,0
2836,EV,7135,IAD,CHS,3,481,101,0
2837,OO,6651,LAX,RNO,3,481,85,0
2839,XE,5935,ORD,GRB,3,481,48,1
2840,B6,140,PBI,JFK,3,482,148,0
2844,UA,885,LAS,SFO,3,482,108,0
2845,XE,2887,EWR,BWI,3,482,76,0
2846,EV,7076,IAD,SAV,3,483,105,1
2847,OO,6630,LAX,CLD,3,483,43,0
2848,OO,6745,BUR,DEN,3,483,136,0
2849,OO,6958,ORD,MKG,3,483,51,0
2850,EV,5067,BNA,ATL,3,484,81,0
2851,FL,783,PHF,LGA,3,484,80,1
2853,UA,157,SAN,SFO,3,484,104,0
2857,AA,1857,BWI,SJU,3,485,225,0
2860,AA,717,LGA,DFW,3,485,250,0
2861,AA,849,MIA,SFO,3,485,380,1
2866,CO,1827,SAN,EWR,3,485,325,1
2868,DL,1499,BDL,FLL,3,485,196,1
2870,DL,1610,DEN,DTW,3,485,169,0
2872,DL,2073,CMH,ATL,3,485,100,1
2874,DL,2635,IND,ATL,3,485,108,0
2878,MQ,2916,DFW,VPS,3,485,110,0
2880,MQ,3932,SGF,ORD,3,485,95,0
2881,MQ,4206,CMI,ORD,3,485,65,0
2882,OH,6692,IAH,JFK,3,485,214,0
2883,OO,6583,DEN,COS,3,485,32,0
2884,OO,7764,SLC,PIH,3,485,67,1
2886,UA,761,ORD,SFO,3,485,285,1
2891,WN,2004,MCO,BWI,3,485,130,0
2892,WN,2030,RDU,TPA,3,485,115,0
2893,WN,2698,BDL,FLL,3,485,195,1
2897,WN,3843,SMF,BUR,3,485,70,0
2901,WN,907,OKC,DAL,3,485,55,0
2904,WN,997,SAN,PHX,3,485,70,1
2905,XE,2373,IAH,AUS,3,485,53,1
2906,XE,2679,EWR,JAX,3,485,154,1
2907,XE,5936,ORD,ATW,3,485,50,1
2908,EV,7067,MHT,IAD,3,486,110,0
2909,OO,6509,TUS,LAX,3,486,95,1
2910,UA,667,LGA,ORD,3,486,157,0
2911,DL,14,LAS,ATL,3,487,223,0
2912,EV,5062,ATL,GSO,3,487,73,1
2913,UA,744,DEN,BOS,3,487,227,0
2914,XE,2082,CLE,DCA,3,487,72,0
2915,XE,2971,EWR,CLT,3,487,137,1
2917,B6,553,EWR,RSW,3,489,195,0
2918,UA,489,CVG,ORD,3,489,83,0
